text,label
This was my first time and I can't wait until the next.,1
it was a drive to get there.,0
I recently tried Caballero's and I have been back every week since!,1
"Wow, what a bad film.  ",0
I ordered this product first and was unhappy with it immediately.,0
This movie is also revealing.  ,1
Tied to charger for conversations lasting more than 45 minutes.MAJOR PROBLEMS!!,0
The camera on the phone may be used as a dustpan when indoors... I'd rather be using a disposable then this.,0
I really like this product over the Motorola because it is allot clearer on the ear piece and the mic.,1
Some highlights : Great quality nigiri here!,1
We've have gotten a much better service from the pizza place next door than the services we received from this restaurant.,0
"About 30 minutes of footage is wasted to show mediocre elderly actors awkwardly babbling overwrought pseudo-Satanic gibberish corny enough to make a teen Goth blush, almost always in Olde English, and sometimes in Latin that may or may not be made up words.  ",0
The text messaging feature is really tricky to use.,0
It doesn't make you look cool.,0
Great food and great service in a clean and friendly setting.,1
"Jimmy Stewart is as ever a great hero for Hitchcock, the story rips along to its cool climax at an embassy function, but it lacks the brooding menace of Hitchcock's black and white, low-budget original.  ",1
"Every time he opened his mouth you expect to hear, ""you see kids..."" Pulling the plug was a mercy killing for this horrible show.  ",0
"Not to mention the combination of pears, almonds and bacon is a big winner!",1
DELETE this film from your mind!  ,0
I was able to do voice dialing in the car with no problem.,1
